run,status,model,backbone,loss,loss_display,venue,year,family,loss_variant,epochs,best_val_miou,best_val_miou_epoch,best_val_miou_present,best_val_miou_present_epoch,final_val_miou,final_val_miou_present,final_train_loss,final_val_loss,min_val_loss,val_overfit_drop_from_best,test_loss,test_miou,test_miou_present,test_macro_f1,test_macro_f1_present,test_oa_fg,test_ce,test_dice,val_bestckpt_miou,val_bestckpt_miou_present,val_bestckpt_macro_f1_present,val_bestckpt_oa_fg,params_m,gmacs,gflops,latency_ms_1x3x512x512,peak_vram_gb,gflops_approx,venue_year
rsseg_docnet_hrnetw32,completed,DOCNet,HRNet-W32,native_ce_aux,ce+aux_ce (native),GRSL2024,2024.0,remote_sensing,native_ce_aux,80.0,0.2771865725517273,17.0,0.2771865725517273,17.0,,,,,,,,0.2420569062232971,0.3146739602088928,,0.4397945404052734,0.6785084009170532,,,0.2771865725517273,0.2771865725517273,0.3665275573730469,0.6567158699035645,39.126866,197.658645504,395.317291008,20.63637028137843,0.4263134002685547,,
pem_r50_baseline_semseg_default,completed,PEM,ResNet-50,native_set_prediction,set_matching_ce+mask+dice,CVPR2024,2024.0,general,native_set_prediction,80.0,0.2549435775142684,57.0,0.2549435775142684,57.0,0.2391110023174626,0.2391110023174626,19.52548596262932,,,0.0158325751968057,,0.2788634171270542,0.2788634171270542,0.4011146136534013,0.4011146136534013,0.6501844043437492,,,0.2549435775142684,0.2549435775142684,0.348263089005869,0.647592686359166,35.531296,30.300141808,60.600283616,11.51518647869428,0.3881421089172363,1.0,
rs3mamba_baseline1_augv2_ce_dice,completed,RS3Mamba,ResNet-18 + VMamba-Tiny,ce_dice,ce+dice,GRSL2024,2024.0,remote_sensing,ce_dice,80.0,0.15591,2.0,0.15591,2.0,2.2e-05,2.2e-05,,,1.891738,0.155888,1.6851544404567382,0.1987174302339553,0.2384609282016754,0.2566779851913452,0.3080135583877563,0.7257310748100281,0.8034431552331402,0.8817112841253174,0.15591,0.15591,0.217873,0.660145,43.325406,39.2956237175,78.591247435,11.601162950197857,0.4623637199401855,1.0,
rs3mamba_baseline3_augv2_focal_dice,completed,RS3Mamba,ResNet-18 + VMamba-Tiny,focal_dice,focal+dice,GRSL2024,2024.0,remote_sensing,focal_dice,80.0,0.191034,2.0,0.191034,2.0,2.2e-05,2.2e-05,,,1.411561,0.191012,,0.1998755484819412,0.2398506700992584,0.2604163289070129,0.3124995827674866,0.7250979542732239,,,0.191034,0.191034,0.252132,0.719807,43.325406,39.2956237175,78.591247435,11.601162950197857,0.4623637199401855,1.0,
rs3mamba_baseline2_augv2_weighted_ce_dice,completed,RS3Mamba,ResNet-18 + VMamba-Tiny,weighted_ce_dice,weighted_ce+dice,GRSL2024,2024.0,remote_sensing,weighted_ce_dice,80.0,0.231303,3.0,0.231303,3.0,2.2e-05,2.2e-05,,,1.867902,0.231281,,0.2556366920471191,0.3067640662193298,0.3566443026065826,0.427973210811615,0.6518712639808655,,,0.231303,0.231303,0.32193,0.684533,43.325406,39.2956237175,78.591247435,11.601162950197857,0.4623637199401855,1.0,
sam_rs_unetformer_baseline1_augv2_seg_bdy_obj_rerun_a10080,completed,SAM_RS,UNetFormer + SAM priors,native_samrs,seg+bdy+obj (native),TGRS2024,2024.0,vfm,native_samrs,80.0,0.29711,40.0,0.29711,40.0,0.240682,0.240682,0.304099,1.256075,0.965364,0.0564279999999999,1.139871560248226,0.2700481712818146,0.3240578174591064,0.3710233271121979,0.4452280104160309,0.6838590502738953,1.0379849622660284,,0.29711,0.29711,0.393353,0.689379,11.68803,11.758842378,23.517684756,3.3228546380996704,0.08743047714233398,,
rsseg_logcanplus_repvitm23,completed,LoGCAN++,RepViT-M2.3,native_ce_aux,ce+aux_ce (native),TGRS2025,2025.0,remote_sensing,native_ce_aux,80.0,0.2264001135640624,17.0,0.2264001135640624,17.0,,,,,,,,0.2264001135640624,0.2264001135640624,0.3065647505305512,0.3065647505305512,0.6353104665177345,,,0.2264001135640624,0.2264001135640624,0.3065647505305512,0.6353104665177345,25.1927,37.184785152,74.369570304,17.187000811100006,0.2225427627563476,0.0,
mfmamba_baseline1_augv2_ce_dice,completed,MF-Mamba,HRNet-W18,ce_dice,ce+dice,TGRS2025,2025.0,remote_sensing,ce_dice,80.0,0.303879,54.0,0.303879,54.0,0.3003,0.3003,0.950939,2.210551,1.78603,0.0035789999999999,2.259157419739869,0.2501123249530792,0.3001347780227661,0.3534695208072662,0.4241634309291839,0.6376227140426636,1.3827678953602156,0.8763895269664687,0.303879,0.303879,0.398812,0.65056,11.272878,19.4719632695,38.943926539,20.541512221097943,0.1325540542602539,1.0,
ppmambaseg_ppmamba_goldmdd_b8_e80_poly_ce_dice,completed,PPMambaSeg,swsl-ResNet-18,ce_dice,ce+dice,GRSL2025,2025.0,remote_sensing,ce_dice,80.0,0.3361580754211081,31.0,0.3361580754211081,31.0,,,,,,,,0.2933565946497269,0.3520279135796724,,0.4780008147309768,0.6682658362274575,,,0.3361580754211081,0.3361580754211081,0.436855391527811,0.7208191085953789,21.704934,22.995250712,45.990501424,11.27557655175527,0.31026744842529297,,
sam_rs_ftunetformer_baseline1_augv2_seg_bdy_obj,completed,SAM_RS,FTUNetFormer + SAM priors,native_samrs,seg+bdy+obj (native),TGRS2024,2024.0,vfm,native_samrs,80.0,0.285891,44.0,0.285891,44.0,,,,,,,,0.2435110360383987,0.2922132611274719,,0.4093647599220276,0.6871083974838257,,,0.2858913540840149,0.2858913540840149,0.377724,0.729698,96.137646,25.519038486,51.038076972,14.656291405359903,0.4374113082885742,,
sam_rs_abcnet_baseline1_augv2_seg_bdy_obj_fp32fix,completed,SAM_RS,ABCNet + SAM priors,native_samrs,seg+bdy+obj (native),TGRS2024,2024.0,vfm,native_samrs,80.0,0.310382,22.0,0.310382,22.0,2.2e-05,2.2e-05,,,3.183747,0.0222379999999999,3.164078710465458,0.2470142841339111,0.2964171171188354,0.0373230017721653,0.4097561836242676,0.6572774052619934,2.900446863813773,,0.3100911676883697,0.3100911676883697,0.407335,0.696035,13.964547,16.175800832,32.351601664,2.570455769697825,0.10141849517822266,,
sam_rs_cmtfnet_baseline1_augv2_seg_bdy_obj,completed,SAM_RS,CMTFNet + SAM priors,native_samrs,seg+bdy+obj (native),TGRS2024,2024.0,vfm,native_samrs,80.0,0.290887,74.0,0.290887,74.0,,,,,,,1.4137107084244371,0.2242694944143295,0.29155033826828,,0.4083802103996277,0.6597728133201599,1.32055588957856,,0.2908865809440613,0.2908865809440613,0.389766,0.648096,30.072697,33.069615744,66.139231488,6.215466310580571,0.3344717025756836,,
rsamseg_vit_b_baseline1_augv2_ce_dice,completed,RSAM-Seg,SAM-ViT-B (frozen encoder),ce_dice,ce+dice,RS2025,2025.0,vfm,ce_dice,80.0,0.295889675617218,19.0,0.295889675617218,19.0,0.2453161478042602,0.2641866207122803,0.958431219018339,1.7172465834276505,1.421934665799916,0.0317030549049377,1.4801828031504716,0.2509736120700836,0.3262656927108764,0.3439700901508331,0.4471611082553863,0.6977872848510742,0.8170409444403661,0.6631418581805225,0.2958906590938568,0.2958906590938568,0.3907133936882019,0.7304159998893738,98.587486,123.5273008,247.0546016,15.357085317373276,0.6102733612060547,,
rsamseg_vit_b_baseline2_augv2_weighted_ce_dice,completed,RSAM-Seg,SAM-ViT-B (frozen encoder),weighted_ce_dice,weighted_ce+dice,RS2025,2025.0,vfm,weighted_ce_dice,80.0,0.3127645254135132,13.0,0.3332642018795013,65.0,,,,,,,1.7363612585941126,0.2639985680580139,0.3695980608463287,,0.5085480809211731,0.6978006362915039,0.8637795787298972,0.8725816810121559,0.3094634413719177,0.3332683145999908,0.4505973160266876,0.6948217749595642,98.587486,123.5273008,247.0546016,15.357085317373276,0.6102733612060547,,
rsamseg_vit_b_baseline3_augv2_focal_dice,completed,RSAM-Seg,SAM-ViT-B (frozen encoder),focal_dice,focal+dice,RS2025,2025.0,vfm,focal_dice,80.0,0.2841176688671112,28.0,0.2841176688671112,28.0,,,,,,,1.2042348159972136,0.2653927505016327,0.3450106084346771,,0.4642159938812256,0.7429631948471069,0.4018939193478925,0.8023408970900373,0.2841123938560486,0.2841123938560486,0.3741720616817474,0.7545586228370667,98.587486,123.5273008,247.0546016,15.357085317373276,0.6102733612060547,,
geoseg_unetformer_goldmdd_b8_e80_poly_ce_dice/sessrs_official,completed,SESSRS,UNetFormer (ce+dice),sessrs_post,t1/t2 search + postprocess,TGRS2025,2025.0,vfm,sessrs_post,,0.3399191022846946,,0.3399191022846946,,,,,,,,,0.3298283557332813,0.39579402687993753,,0.5166855862869882,0.7279040131321234,,,0.3399191022846946,0.3399191022846946,0.43878454211159706,0.7645834751627127,11.725918,11.775443456,23.550886912,4.9342911098345965,0.08757352828979492,,
